Prompt Title,Prompt,Business Terminology Type,Type
Develop a Unique Metaphor,Provide guidance on creating an original metaphor for a specific concept or emotion.,Creative & Expressive Writing,
Create a Visual Description,"Suggest a prompt for describing a setting or object in vivid detail, suitable for storytelling.",Creative & Expressive Writing,
Expand a Writing Prompt,Take a simple writing prompt and suggest ways to expand it into a short story or narrative.,Creative & Expressive Writing,
Rewrite for Clarity,Rewrite a piece of content to make it clearer and more engaging.,Content Optimization,
Adapt for Social Media,Transform a blog post into a format suitable for a Twitter thread or Instagram caption.,Content Optimization,
Expand Content,Provide suggestions to expand a brief piece of content into a detailed article or guide.,Content Optimization,
Simplify Content,Condense a lengthy piece of writing into a more concise summary.,Content Optimization,
Optimize for SEO,Suggest edits to optimize a piece of content for search engines while keeping it engaging.,Content Optimization,
Avoid Annoying Constructive Sentences,"A directive to eliminate “Ai Slop” that is generic, filler, and cliché, forcing all responses to be clear, assertive, and straight to the point. (See Inside)",Content Optimization,"""Learn This"" Template"
Create a Marketing Strategy,Draft a comprehensive strategy for marketing a product or service in a competitive industry.,Marketing SEO and Campaign Strategies,
Generate Ad Copy,Write engaging and persuasive ad copy for a specific target audience.,Marketing SEO and Campaign Strategies,
Plan a Viral Campaign,Suggest ideas for a viral marketing campaign based on a brand’s unique value proposition.,Marketing SEO and Campaign Strategies,
Identify Target Audience,Develop a profile of the ideal customer for a specific product or service.,Marketing SEO and Campaign Strategies,
Write a Call-to-Action,Craft an effective call-to-action that drives conversions and engagement.,Marketing SEO and Campaign Strategies,
Understand Your Audience,"Describe your target audience in detail. Who are they, what are their goals, and what challenges do they face? Use this information to shape your writing to address their needs.",Audience-Focused Writing,
Speak Their Language,"Write a paragraph using language, tone, and terminology that resonates with your audience. Focus on clarity and relatability to establish trust and connection.",Audience-Focused Writing,
Solve Their Problems,"List three common problems or pain points your audience faces. Write actionable advice or solutions for each one, ensuring your suggestions are practical and relevant.",Audience-Focused Writing,
Address Their Goals,"Identify the primary goals your audience wants to achieve. Write content that directly helps them move closer to these goals, offering clear steps or insights.",Audience-Focused Writing,
Tailor Your Call-to-Action,Craft a call-to-action specifically for your audience. Focus on how your offer or content aligns with their needs and motivates them to take the next step.,Audience-Focused Writing,
Write a LinkedIn Summary,Draft a compelling and professional LinkedIn summary for someone in [industry/field].,Career Development & Professional Growth,
Prepare for an Interview,Generate a list of questions to prepare for a job interview in [specific role].,Career Development & Professional Growth,
Create a Career Development Plan,Outline a step-by-step plan for advancing in [specific industry/field].,Career Development & Professional Growth,
Write a Tailored Cover Letter,Draft a personalized cover letter for applying to [specific job].,Career Development & Professional Growth,
Develop Networking Strategies,Suggest ways to effectively network and build connections in [specific industry].,Career Development & Professional Growth,
Analyze Trends,Identify key trends in the following dataset or description: [insert data].,Data Analysis & Visualization,
Create a Data Dashboard,Provide a framework for setting up a data visualization dashboard for [specific purpose].,Data Analysis & Visualization,
Generate Data Insights,Suggest actionable insights based on the following dataset: [insert data].,Data Analysis & Visualization,
Compare Data Sets,Create a comparison between two datasets to highlight differences and correlations.,Data Analysis & Visualization,
Visualize Data Effectively,"Recommend the best visualization methods for representing [type of data] (e.g., pie chart, bar graph, heat map).",Data Analysis & Visualization,
Write a Thoughtful Response,Craft a professional and empathetic email response to [specific situation].,Emotional Intelligence & Communication,
Improve Conflict Resolution,Suggest communication strategies for resolving conflicts in [specific scenario].,Emotional Intelligence & Communication,
Develop Active Listening Skills,"Provide tips for practicing active listening in [specific context, e.g., team meetings].",Emotional Intelligence & Communication,
Create a Team Feedback Template,Draft a template for giving constructive feedback to team members.,Emotional Intelligence & Communication,
Write a Supportive Message,Suggest how to write an encouraging and supportive message to a colleague facing challenges.,Emotional Intelligence & Communication,
Request Constructive Feedback,Create a framework for requesting actionable feedback on [specific project or task].,Feedback and Iteration,
Improve Based on Feedback,Suggest specific ways to iterate on the following draft or idea based on this feedback: [insert feedback].,Feedback and Iteration,
Evaluate Team Feedback,Provide a structured approach to analyzing and implementing feedback from a team discussion.,Feedback and Iteration,
Develop a Feedback Loop,Outline a process for creating a continuous feedback loop for [specific workflow or system].,Feedback and Iteration,
Review a Creative Draft,Suggest improvements for the following creative draft to make it more engaging: [insert draft].,Feedback and Iteration,
Summarize Research Findings,Provide a concise summary of the key findings in this report: [insert text or description].,Research Assistance,
Develop Research Questions,Suggest five research questions to explore the topic of [specific field or subject].,Research Assistance,
Compare Sources,Evaluate the reliability and relevance of these sources: [insert sources].,Research Assistance,
Write a Literature Review,Outline the key points and themes for a literature review on [specific topic].,Research Assistance,
Identify Knowledge Gaps,Suggest potential gaps in the current knowledge or research on [specific subject].,Research Assistance,
Create a Long-Term Plan,Outline a five-year strategic plan for achieving [specific goal].,Strategic Thinking & Planning,
Develop a SWOT Analysis,"Perform a SWOT (Strengths, Weaknesses, Opportunities, Threats) analysis for [business/individual].",Strategic Thinking & Planning,
Suggest Growth Strategies,Provide strategies to scale and grow [business/project] sustainably.,Strategic Thinking & Planning,
Prioritize Goals,Recommend a framework for prioritizing these goals: [insert goals].,Strategic Thinking & Planning,
Plan for Risk Mitigation,Suggest steps to identify and mitigate risks in [specific project or strategy].,Strategic Thinking & Planning,
Write a User Manual,Create a clear and concise user manual for [product or tool].,Technical Writing & Documentation,
Document a Workflow,Outline the steps for documenting a workflow process for [specific task].,Technical Writing & Documentation,
Create API Documentation,Provide a structure for writing developer-friendly API documentation for [specific API].,Technical Writing & Documentation,
Write Troubleshooting Steps,Draft troubleshooting instructions for solving [specific issue].,Technical Writing & Documentation,
Develop FAQ Content,Suggest frequently asked questions and answers for [product/service].,Technical Writing & Documentation,
Automate Repetitive Tasks,Suggest automation tools and methods for streamlining [specific task or process].,Workflow Automation,
Create a Make/Zapier Workflow,Provide a step-by-step guide for setting up a Make/Zapier integration for [specific use case].,Workflow Automation,
Optimize Email Automation,Recommend ways to automate email workflows for [specific scenario].,Workflow Automation,
Automate Social Media Management,List tools and methods to automate scheduling and posting on social media platforms.,Workflow Automation,
Build a Data Sync Workflow,Outline steps for automating data synchronization between [two tools or systems].,Workflow Automation,
